#  JMA2001 + Density + Attenuation
#
#  The original JMA2001 velocity strucuture model (Ueno, et al., 2002)
#  used in hypocentral determination by Japan Meteorological Agency 
#  contains depth, P-wave velocity adn S-wave velocity.
#  Mass density and intrinsic attenuation factors are obtained from 
#  empirical relationships summarized in Brocher (2008; J Seismol.)
#  Note that the velocities of deep structure (>270 km for density and
#  >420 km for attenuation) exceeds the limiation of the empirical formula.
#  Please use it with caution for deep-focus earthquake. 
#
#   depth(km)   rho(g/cc)   vp(km/s)    vs(km/s)       Qp       Qs
# ------------------------------------------------------------------
    185.5000      3.3710      8.2210      4.5760   1439.5670    719.7835
    186.0000      3.3717      8.2230      4.5770   1440.3463    720.1731
    186.5000      3.3721      8.2240      4.5770   1440.3463    720.1731
    187.0000      3.3728      8.2260      4.5780   1441.1259    720.5629
    187.5000      3.3735      8.2280      4.5790   1441.9059    720.9529
    188.0000      3.3743      8.2300      4.5800   1442.6862    721.3431
    188.5000      3.3750      8.2320      4.5810   1443.4669    721.7334
    189.0000      3.3754      8.2330      4.5820   1444.2479    722.1239
    189.5000      3.3761      8.2350      4.5830   1445.0292    722.5146
    190.0000      3.3768      8.2370      4.5840   1445.8110    722.9055
    190.5000      3.3772      8.2380      4.5840   1445.8110    722.9055
    191.0000      3.3780      8.2400      4.5850   1446.5930    723.2965
    191.5000      3.3787      8.2420      4.5870   1448.1582    724.0791
    192.0000      3.3794      8.2440      4.5880   1448.9414    724.4707
    192.5000      3.3798      8.2450      4.5880   1448.9414    724.4707
    193.0000      3.3805      8.2470      4.5890   1449.7248    724.8624
    193.5000      3.3813      8.2490      4.5900   1450.5087    725.2543
    194.0000      3.3817      8.2500      4.5910   1451.2928    725.6464
    194.5000      3.3824      8.2520      4.5920   1452.0774    726.0387
    195.0000      3.3831      8.2540      4.5930   1452.8623    726.4311
    195.5000      3.3835      8.2550      4.5940   1453.6475    726.8238
    196.0000      3.3842      8.2570      4.5950   1454.4331    727.2165
    196.5000      3.3846      8.2580      4.5950   1454.4331    727.2165
